Month,No. Departure (AF),Hours (AF),Kms (Thousands)(AF),No Carried(P),Km Performed(Millions)(P),Avail Seats Km(millions),PAX load %,Frieght CC,Mail CC,Total CC,PAX TON KMS Performed,Freight TON KM Performed,Mail TON KMS Performed,Total TON KMS Performed,Avail TONNE KMS (Millions),Weight Load Factor %
04/2009,45893,72957,40525,3869548,3701,5439,68,21581,2078,23659,321,20,2,344,544,63.1
05/2009,47567,72997,41972,4103849,3932,5648,69.6,23898,2187,26085,347,21,2,371,576,64.4
06/2009,43958,70703,39418,3472983,3363,5214,64.5,22170,2109,24279,296,20,2,318,519,61.3
07/2009,43378,69215,38633,3223973,3059,4970,61.6,22836,2152,24988,274,20,2,296,500,59.2
08/2009,41377,65269,37251,3005893,2869,4753,60.4,22670,1970,24640,257,20,2,279,481,57.9
09/2009,39447,63514,31765,2635866,2495,4512,55.3,23856,2036,25892,220,22,2,244,453,53.8
10/2009,41533,67189,33296,3098730,2969,4855,61.2,22230,1857,24087,253,20,2,275,483,56.9
11/2009,40904,62568,31947,3055690,2887,4676,61.7,18864,2099,20963,243,19,2,265,457,57.9
12/2009,42469,68031,33960,3296916,3105,4870,63.8,18481,2013,20494,261,18,2,282,484,58.2
01/2010,42077,65769,32697,3288004,3121,4870,64.1,18762,2070,20832,269,18,2,289,483,59.8
02/2010,38755,63694,30840,3293220,3190,4452,71.6,16693,1952,18645,268,17,2,287,449,64
03/2010,42209,66536,33795,3122400,3012,4900,61.5,20930,2114,23044,250,20,2,272,480,56.7
04/2010,49317,99612,57101,4128401,6513,9818,66.3,33821,2315,36136,584,92,5,681,1176,57.9
05/2010,51990,104530,60085,4782297,7348,10347,71,34100,2373,36473,662,97,4,762,1234,61.8
06/2010,50084,106180,58372,4547451,7046,10116,69.7,35185,2134,37319,630,99,4,733,1209,60.6
07/2010,51319,104128,60481,4555504,7438,10558,70.5,38370,2370,40740,674,107,4,786,1261,62.3
08/2010,51841,105810,61093,4628220,7577,10612,71.4,42598,3161,45759,685,114,5,804,1274,63.1
09/2010,47747,96636,56617,4372184,6776,9870,68.7,40918,2707,43625,610,106,5,720,1189,60.6
10/2010,51603,108388,61204,4894011,7605,10765,70.6,45505,2845,48350,680,118,5,804,1307,61.5
11/2010,50604,105443,59667,4826827,7523,10439,72.1,47231,2811,50042,678,137,5,820,1282,64
12/2010,52508,109313,62084,5534615,8593,10955,78.4,47556,3253,50809,756,132,6,895,1334,67.1
01/2011,51035,108037,60672,5086616,8094,10698,75.7,46241,3184,49425,718,126,5,849,1298,65.4
02/2011,48237,98389,56427,4734609,7233,9893,73.1,45807,2957,48764,641,130,5,776,1197,64.8
03/2011,53012,107168,62400,4857889,7696,11008,69.9,56374,3251,59625,685,169,5,859,1334,64.4
04/2011,51366,110119,60820,5180604,7904,10707,73.8,49607,1843,51450,692,133,4,829,1266,65.4
05/2011,53640,115844,64854,5877972,9108,11540,78.9,52770,2128,54898,803,147,4,954,1379,69.1
06/2011,51398,111298,62586,5531048,8787,11208,78.4,49142,2099,51241,776,122,4,901,1351,66.7
07/2011,52175,113705,63766,5218081,8680,11553,75.1,53427,2129,55556,768,141,4,914,1395,65.5
08/2011,51728,112664,63132,5057637,8244,11427,72.1,54411,2306,56717,738,144,4,886,1396,63.5
09/2011,49842,109995,60971,4919362,7803,11096,70.3,53728,2181,55909,689,142,4,836,1348,62
10/2011,52928,114804,64422,5648733,8543,11715,72.9,57312,2297,59609,749,151,5,905,1416,63.9
11/2011,52455,112797,62329,5892938,8687,11337,76.6,47586,1916,49507,761,122,4,887,1367,64.9
12/2011,54519,113172,65075,6287275,9351,11817,79.1,51726,2250,53972,817,133,5,954,1409,67.7
01/2012,54523,114876,65710,5984540,9099,11962,76.1,48846,2158,51004,796,131,4,930,1428,65.2
02/2012,50264,107618,59706,5484726,8127,10789,75.3,45208,1757,46965,708,119,4,831,1283,64.8
03/2012,57920,117837,68404,5917903,8837,12340,71.6,56022,1782,57804,772,161,4,937,1468,63.8
04/2012,57077,118508,67095,5781146,8767,12143,72.2,50911,1572,52484,785.7,143.3,3.7,932.7,1458.3,64
05/2012,58290,120774,68268,6603991,9688,12401,78.1,52480,1269,53749,875.1,149.7,3.8,1028.5,1513.2,68
06/2012,57968,120162,67378,6446034,9640,12179,79.2,49975,1374,51349,870.4,142.5,3.7,1016.6,1513.3,67.2
07/2012,59402,122730,69484,6226906,9666,12623,76.6,53418,1349,54767,876.3,157.5,4.2,1038,1592.1,65.2
08/2012,58385,120445,68241,5877937,8978,12424,72.3,48765,1328,50093,813.4,133.7,3,950.1,1556.5,61
09/2012,56924,118400,67437,5672388,8652,12325,70.2,47960,1320,49280,781.8,132.4,3.7,917.9,1526.5,60.1
10/2012,61386,126716,74331,6522139,9459,13126,72.1,49052,1359,50411,849.5,143.1,2.1,994.8,1610.8,61.8
11/2012,60198,123641,70223,6494963,9442,12627,74.8,49031,1422,50453,847.2,144.9,3.5,995.6,1569.8,63.4
12/2012,61641,127294,72014,6822205,10040,12997,77.2,51780,1929,53709,899.8,153.4,3.2,1056.5,1612.6,65.5
01/2013,60259,126960,72047,6578502,10028,13034,76.9,47148,1868,49016,901.7,142.7,3.7,1048.1,1604.1,65.3
02/2013,56037,116890,66268,6148535,9149,11982,76.4,48562,1743,50305,819.3,147.1,4.3,970.7,1465.7,66.2
03/2013,56987,117983,67503,6041885,9285,12289,75.6,53170,2059,55229,831,159.6,6,996.5,1510.5,66
04/2013,55187,106349,62721,6057728,8989,11505,78.1,48205.4,709,48914.4,797.7,146.2,5.5,949.4,1435.8,66.1
05/2013,57301,108695,61547,6329278,8841,11062,79.9,51165.6,656,51821.6,773.8,131.2,4.6,909.6,1332.5,68.3
06/2013,54422,102957,58460,5967475,8398,10466,80.2,46350.5,520,46870.5,732.1,122.6,3.5,858.2,1253.5,68.5
07/2013,53833,103138,58606,5315536,7646,10539,72.5,45853.7,561.6,46415.2,669.4,117.8,4.5,791.7,1256.2,63
08/2013,44806,101327,58010,5164366,7503,10528,71.3,43458.7,646,44104.7,661.8,112.7,4.7,779.3,1270.8,61.3
09/2013,50474,95072,56407,4781624,6980,10262,68,43947.1,652,44599.1,619.6,123.5,4.5,747.7,1246.3,60
10/2013,52158,102089,59126,5384620,7619,10804,70.5,42988,493,43481,673.5,126,4.5,804,1306.5,61.5
11/2013,52020,102454,59389,5888212,8326,10847,76.8,47088.1,504,47592.1,735.5,128.1,1.9,865.6,1307.1,66.2
12/2013,54007,109802,62513,6384660,9179,11520,79.7,48922,437,49359,810.4,130.5,4.5,945.4,1382.3,68.4
01/2014,53921,109664,62186,6155991,9125,11462,79.6,47068,617,47685,808,126.4,3.5,937.9,1369.1,68.5
02/2014,49761,97100,56645,5801187,8330,10403,80.1,44475,572,45047,735.8,121,3.4,860.2,1239.3,69.4
03/2014,55451,109952,62946,6199675,9036,11591,78,52324,620,52944,798.1,143.3,3.4,944.8,1379.1,68.5
04/2014,55680,111883,64804,6259157,9186,11973,76.7,48510,594,49104,814.9,136.4,3.1,954.4,1408.3,67.8
05/2014,57928,115774,67588,6259157,10067,12492,80.6,50952,583,51535,894,136.6,3.2,1033.8,1464.6,70.6
06/2014,56026,114341,65263,6239435,9421,12092,77.9,50826.9,555,51381.9,836.8,131.7,3.2,971.7,1407.9,69
07/2014,56829,116897,66325,6001563,8960,12281,73,54613.7,555.7,55169.4,798,139.6,3.1,940.7,1440.8,65.3
08/2014,56950,117082,67426,6493693,9665,12349,78.3,51728.2,569.4,52297.6,861.5,127,3.3,991.8,1446.1,68.6
09/2014,55805,114530,65330,5722891,8646,12153,71.1,53344.1,555.3,53899.4,770.3,136.2,3.4,909.8,1424.4,63.9
10/2014,60328,122493,70386,6228614,9280,13038,71.2,55996.9,618.5,56615.5,824.6,142,3.7,970.4,1523.3,63.7
11/2014,58569,120649,68738,6337425,9329,12775,73,51012,627.4,51639.4,835.8,136.7,3.8,976.3,1494.2,65.3
12/2014,60594,125284,71611,6935792,10333,13299,77.7,54637,685,55322,919,140.7,4.3,1064,1538.7,69.1
01/2015,60086,125196,71195,6514944,10094,13213,76.4,52168.6,678,52846.6,901.8,132.4,4.1,1038.3,1529.5,67.9
02/2015,54987,113854,64637,6150454,9153,11968,76.5,48895.9,538,49433.9,817,126.8,3.5,947.3,1381.1,68.6
03/2015,60869,125669,71200,6616290,9902,13265,74.6,57809.2,634,58443.2,882.7,148.8,4,1035.5,1518.5,68.2
04/2015,59499,119039,69651,6633784,9829,12888,76.3,62641.8,1838,64479.8,865.8,9224.2,3.7,10093.7,13968.9,72.3
05/2015,61936,126468,72213,7362607,10703,13356,80.1,67119.6,2624,69743.6,937.5,8852.7,4.7,9795,13321,73.5
06/2015,60034,122623,70297,7006328,10351,13056,79.3,67332.9,2526,69858.9,905.4,9041.8,4.6,9951.8,13564,73.4
07/2015,62128,127726,72791,6557747,9883,13548,72.9,70548.1,2560,73108.1,865.2,9912.4,4.9,10782.4,14777.6,73
08/2015,62396,128043,73063,7151151,10555,13597,77.6,67781.2,2769,70550.2,928.8,9089.9,5.1,10023.8,13724.4,73
09/2015,60664,121415,70629,7128849,10039,13091,76.7,72233,2584,74817,879.6,10170.9,4.9,11055.4,14901.5,74.2
10/2015,63457,127218,74425,7292326,10391,13798,75.3,70320.4,2465,72785.4,936.2,9700.5,5,10641.8,14988.3,71
11/2015,60693,122928,71702,7210270,10207,13330,76.6,69994.8,2680,72674.8,895.7,8880,4.8,9780.4,13555.7,72.1
12/2015,61311,126350,73558,7993056,11534,13677,84.3,70043.6,2896,72939.6,1019,11483,5,12507.1,17863,70
01/2016,61716,128114,85266,7875473,11699,13903,84.1,65104,2873,67977,1040.4,9958.3,4.6,11003.2,15274,72
02/2016,56824,117725,77524,7416065,10572,12598,83.9,63930.5,2961,66891.5,940.6,9359.4,4.8,10304.8,14823,69.5
03/2016,64078,132356,86766,7784541,11140,14110,79,68160.7,3040,71200.7,991.4,9952.3,5.1,10948.8,15940.3,68.7
04/2016,73628,150488,94739,9515475,13006,15998,81.3,66844.7,2945.6,69790.3,1142,9909.5,5,11056.5,17226.1,64.2
05/2016,77879,159046,99509,10314649,13918,16802,82.8,71019.4,2978.6,73998,1230.5,10842.5,4.8,12077.8,18029.6,67
06/2016,75992,156084,97677,9517442,13131,16595,79.1,71496.7,3205.9,74702.5,1160.5,10874.1,5,12039.5,17989.2,66.9
07/2016,78220,161127,100712,10214313,14083,17121,82.3,71151.9,3578.5,74730.4,1235.7,10725.1,5.5,11966.2,17948.6,66.7
08/2016,77844,159755,99838,10091912,13874,17028,81.5,72016.6,3601.9,75618.5,1221.3,11632.5,5.1,12858.9,19224.2,66.9
09/2016,76422,155781,98147,9844942,13357,16781,79.6,75075.3,3389,78464.3,1188.4,11651.5,4.7,12844.5,18508.2,69.4
10/2016,81857,166194,104238,10278832,13801,17820,77.4,82321.3,3490.6,85811.8,1220.9,13257.9,5,14483.8,22541.9,64.3
11/2016,80407,165096,102381,10622459,14299,17672,80.9,70810.9,3110.5,73921.4,1281.3,10545.8,4.9,11832.1,17568.5,67.3
12/2016,82471,170928,106956,11469384,15754,18445,85.4,76468.9,2471,78939.9,1417.8,11623.7,3.1,13044.6,19013.3,68.6
01/2017,82986,173540,107396,11546099,16054,18643,86.1,73935.9,3671.5,77607.4,1426.4,10945.5,5.7,12377.6,18323.5,67.6
02/2017,75158,156395,96375,10292309,13990,16731,83.6,72972.6,3717.8,76690.4,1243.3,9926.2,6,11175.5,16894.5,66.1
03/2017,83515,171580,106451,10855020,14818,18553,79.9,87012.6,3794.1,90806.7,1312.4,11088.3,6.6,12407.2,18082.9,68.6
04/2017,81196,167387,103943,10945359,14916,18121,82.3,80539.7,3275.6,83815.2,1317.2,191,6,1514.2,2140.3,70.7
05/2017,86762,177428,109842,12074341,16241,19112,85,86222.4,3446.3,89668.7,1404.5,205.2,6.5,1616.2,2227.2,72.6
06/2017,84813,173662,107490,11336310,15478,18641,83,85560.2,3449.8,89009.9,1358.2,202.2,6.2,1566.6,2195.3,71.4
07/2017,87267,179298,111175,11500698,15806,19181,82.4,84442.7,3608.8,88051.5,1403.9,198.7,6.5,1609.1,2240,71.8
08/2017,87505,178962,111700,11683198,15990,19281,82.9,85823.8,3556.9,89380.7,1415.7,199.7,6.4,1621.7,2232.3,72.6
09/2017,86047,175527,109964,11406405,15477,18915,81.8,89391.3,3779.8,93171.1,1369.6,205,7.3,1581.8,2234.2,70.8
10/2017,91982,187292,116385,12344621,16527,20080,82.3,87686.2,3572.3,91258.5,1457.6,210,7.1,1674.7,2362.6,70.9
11/2017,88370,183897,113531,12385316,16688,19649,84.9,85245.2,3611.8,88856.9,1470.8,222.3,6.5,1699.6,2307.9,73.6
12/2017,94621,197295,121338,13419501,18373,21026,87.4,87202.6,3909.3,91111.9,1621.2,221.7,7.1,1849.9,2494.3,74.2
01/2018,96886,202300,123631,13694363,18656,21339,87.4,82389.9,3810.6,86200.5,1750,206.2,6.5,1962.6,2631.9,74.6
02/2018,88808,186708,112486,12645348,16874,19351,87.2,79415.9,3415.8,82831.7,1494.3,201.7,5.6,1701.7,2272.5,74.9
03/2018,98870,205739,125189,13684692,18384,21514,85.4,90366.1,3426.6,93792.6,1628,227.1,5.6,1860.6,2526.7,73.6
04/2018,96640,202564,122422,13551526,18039,21110,85.4,87876.1,3348.1,91224.3,1563.3,222.9,5.6,1791.8,2456.1,73
05/2018,101761,213954,128647,13922320,18557,22079,84,94328.8,3542.8,97871.6,1638.6,229.8,6.1,1874.4,2609.9,71.8
06/2018,99284,213832,125857,13318370,18108,21806,83,92999.9,3623.1,96623,1611.8,222.2,5.9,1840,2571.3,71.6
07/2018,100297,215668,127930,13802661,18668,22048,84.7,96662.3,3989.3,100651.6,1659,232.5,6.4,1897.9,2604.6,72.9
08/2018,101189,210103,128090,13470595,18374,22106,83.1,95318,4008.1,99326.1,1637.9,233,6.9,1877.7,2643.5,71
09/2018,100275,213147,124454,13345523,17675,21727,81.4,95573.7,3730.7,99304.4,1580,232.3,6.7,1819.1,2597.6,70
10/2018,106088,220660,132941,13850223,18477,22899,80.7,101216.8,3862.9,105079.7,1651.1,246.1,6.9,1904.2,2715.3,70.1
11/2018,102844,211379,131092,13786200,18792,22650,83,87785.5,3933.6,91719.1,1673.4,223.7,6.9,1904.1,2673.3,71.2
12/2018,108250,228294,138229,15112591,20754,24143,86,91187.5,4342.6,95530,1845.4,227.4,7.5,2080.3,2837.5,73.3
01/2019,107989,229647,138365,14964334,20895,24363,85.8,83945.7,4310,88255.7,1860.2,199.1,7.2,2066.5,2840.9,72.7
02/2019,94403,199373,122572,13449765,18430,21379,86.2,82229.4,3661.1,85890.5,1644.1,196.7,5.9,1846.8,2511.7,73.5
03/2019,99088,206658,129147,13659179,18573,22193,83.7,90062.8,3581.3,93644.1,1660,212,5.6,1877.6,2604.6,72.1
